epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,11339.9,0.7376,0.49146,0.87017,0.94874,0.96388,0.98243,0.79213,0.72741,0.42443,0.85405,0.00116647,0.00116647,0.00116647
137,11425.7,0.72019,0.49254,0.88944,0.96803,0.96751,0.98585,0.80085,0.7294,0.4228,0.85754,0.00116585,0.00116585,0.00116585
138,11511.1,0.74073,0.50386,0.88182,0.95313,0.96691,0.98688,0.78855,0.73383,0.4366,0.85871,0.00116523,0.00116523,0.00116523
139,11596.6,0.70316,0.47688,0.87766,0.96697,0.96981,0.98646,0.79963,0.72035,0.43672,0.86246,0.00116461,0.00116461,0.00116461
140,11682.4,0.72789,0.49098,0.88092,0.96766,0.96462,0.98721,0.79096,0.73499,0.43905,0.86566,0.00116399,0.00116399,0.00116399
141,11768.2,0.71759,0.48275,0.88161,0.96897,0.96226,0.98125,0.78899,0.7389,0.43909,0.86624,0.00116337,0.00116337,0.00116337
142,11853.7,0.72561,0.48587,0.88341,0.96037,0.95896,0.98337,0.80979,0.72646,0.42706,0.85933,0.00116276,0.00116276,0.00116276
143,11939.3,0.73383,0.49013,0.87551,0.94934,0.96665,0.98546,0.7868,0.74787,0.42871,0.85716,0.00116214,0.00116214,0.00116214
144,12024.9,0.74123,0.50026,0.88807,0.96882,0.96723,0.98857,0.80017,0.74288,0.43432,0.85354,0.00116152,0.00116152,0.00116152
145,12110.5,0.70844,0.50042,0.89075,0.94781,0.96536,0.98822,0.80568,0.71614,0.4298,0.84512,0.0011609,0.0011609,0.0011609
146,12196.3,0.72107,0.48337,0.87104,0.95455,0.95804,0.97227,0.79353,0.71526,0.46269,0.84707,0.00116028,0.00116028,0.00116028
147,12282.3,0.70012,0.47744,0.87674,0.95949,0.95689,0.97327,0.77467,0.73656,0.50264,0.85298,0.00115966,0.00115966,0.00115966
148,12368.4,0.69323,0.48052,0.88385,0.96318,0.9678,0.97208,0.78098,0.7125,0.48288,0.84798,0.00115904,0.00115904,0.00115904
149,12454.2,0.73108,0.48827,0.88174,0.96483,0.96403,0.97136,0.7892,0.72292,0.48879,0.85275,0.00115843,0.00115843,0.00115843
150,12540.1,0.71349,0.47838,0.88146,0.95426,0.96634,0.97165,0.78182,0.73325,0.48197,0.85833,0.00115781,0.00115781,0.00115781
151,12625.3,0.71785,0.48763,0.87754,0.93413,0.97056,0.96596,0.78388,0.71401,0.45711,0.85096,0.00115719,0.00115719,0.00115719
152,12710.1,0.71699,0.48695,0.88215,0.94902,0.96733,0.97379,0.79741,0.72576,0.44592,0.85086,0.00115657,0.00115657,0.00115657
153,12795.3,0.7074,0.47563,0.87475,0.94292,0.96407,0.97411,0.80388,0.71683,0.44908,0.84966,0.00115595,0.00115595,0.00115595
154,12880.4,0.70718,0.47048,0.87774,0.9423,0.97674,0.96667,0.78912,0.72497,0.46494,0.85491,0.00115533,0.00115533,0.00115533
155,12965.9,0.70228,0.46599,0.88857,0.95195,0.97768,0.97102,0.7946,0.7093,0.45585,0.84892,0.00115471,0.00115471,0.00115471
156,13050.7,0.70734,0.47542,0.87032,0.93757,0.97823,0.98239,0.78785,0.73005,0.45814,0.85568,0.00115409,0.00115409,0.00115409
157,13136.3,0.7178,0.4727,0.87129,0.94852,0.98072,0.9831,0.79484,0.72229,0.44611,0.85228,0.00115348,0.00115348,0.00115348
158,13221.9,0.71214,0.49373,0.8816,0.95086,0.96758,0.98099,0.80369,0.72789,0.41763,0.85481,0.00115286,0.00115286,0.00115286
159,13306.7,0.6837,0.45892,0.86528,0.9682,0.9605,0.98512,0.81223,0.71118,0.4176,0.8528,0.00115224,0.00115224,0.00115224
160,13392.3,0.68966,0.46264,0.87888,0.95372,0.96798,0.9775,0.79931,0.71427,0.44327,0.85714,0.00115162,0.00115162,0.00115162
161,13477.5,0.72026,0.48109,0.88628,0.95093,0.95519,0.97252,0.78777,0.7353,0.46242,0.86503,0.001151,0.001151,0.001151
162,13563.8,0.68083,0.44712,0.85885,0.92458,0.97812,0.97159,0.7855,0.73994,0.47176,0.86133,0.00115038,0.00115038,0.00115038
163,13650,0.70832,0.47837,0.88002,0.92298,0.97297,0.97548,0.7921,0.72565,0.46764,0.85987,0.00114976,0.00114976,0.00114976
