epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,203.961,0.69796,0.46877,0.87468,0.93115,0.95942,0.95344,0.76959,0.73686,0.48635,0.85887,0.0009431,0.0009431,0.0009431
126,205.727,0.72042,0.48764,0.8751,0.94234,0.97165,0.9621,0.76954,0.75124,0.48624,0.85821,0.000940625,0.000940625,0.000940625
127,207.395,0.69138,0.46609,0.88091,0.95328,0.98711,0.98836,0.79352,0.73482,0.41884,0.8557,0.00093815,0.00093815,0.00093815
128,209.088,0.71088,0.48288,0.87786,0.96483,0.97423,0.98644,0.80865,0.73002,0.41715,0.85094,0.000935675,0.000935675,0.000935675
129,210.728,0.6772,0.47572,0.87401,0.95918,0.97423,0.98675,0.80106,0.72204,0.41439,0.84455,0.0009332,0.0009332,0.0009332
130,212.449,0.72108,0.49468,0.88167,0.95677,0.97457,0.98814,0.7987,0.72879,0.4256,0.84354,0.000930725,0.000930725,0.000930725
131,214.109,0.70495,0.48682,0.87002,0.96895,0.97748,0.98911,0.8127,0.72548,0.41597,0.84739,0.00092825,0.00092825,0.00092825
132,215.777,0.6757,0.46142,0.87832,0.96689,0.97787,0.99114,0.81006,0.72687,0.40812,0.84213,0.000925775,0.000925775,0.000925775
133,217.439,0.66879,0.46303,0.86114,0.98683,0.96134,0.98816,0.80676,0.73912,0.40471,0.84055,0.0009233,0.0009233,0.0009233
134,219.109,0.68205,0.46096,0.87487,0.98093,0.97266,0.98686,0.80665,0.7383,0.41335,0.84805,0.000920825,0.000920825,0.000920825
135,220.79,0.67094,0.47183,0.86076,0.96994,0.95886,0.98466,0.78126,0.80056,0.42483,0.86858,0.00091835,0.00091835,0.00091835
136,222.47,0.69502,0.49338,0.873,0.95839,0.9811,0.98779,0.79596,0.77529,0.43026,0.87738,0.000915875,0.000915875,0.000915875
137,224.095,0.66706,0.46929,0.86545,0.95651,0.97984,0.98415,0.79698,0.7564,0.43587,0.87037,0.0009134,0.0009134,0.0009134
138,225.715,0.67267,0.46873,0.8599,0.96528,0.96607,0.98645,0.78595,0.73208,0.42442,0.85539,0.000910925,0.000910925,0.000910925
139,227.462,0.67329,0.46685,0.87058,0.95479,0.9768,0.98689,0.80481,0.7213,0.40791,0.84526,0.00090845,0.00090845,0.00090845
140,229.125,0.65251,0.47603,0.85341,0.97226,0.95103,0.98624,0.80309,0.75238,0.42839,0.84519,0.000905975,0.000905975,0.000905975
141,230.815,0.67672,0.47646,0.86904,0.96873,0.95379,0.98458,0.79387,0.76408,0.42504,0.84909,0.0009035,0.0009035,0.0009035
142,232.477,0.63796,0.44214,0.85147,0.98159,0.9567,0.98865,0.79903,0.74594,0.41519,0.84797,0.000901025,0.000901025,0.000901025
143,234.15,0.68722,0.48944,0.86438,0.97056,0.97656,0.9896,0.80131,0.7558,0.41923,0.8543,0.00089855,0.00089855,0.00089855
144,235.807,0.66862,0.46592,0.87026,0.9811,0.98023,0.99013,0.79664,0.73683,0.41884,0.84698,0.000896075,0.000896075,0.000896075
145,237.425,0.68742,0.46685,0.86174,0.97468,0.97052,0.99139,0.78403,0.76492,0.43441,0.84663,0.0008936,0.0008936,0.0008936
146,239.05,0.69125,0.45581,0.87,0.98097,0.97392,0.98973,0.80047,0.73674,0.42142,0.83962,0.000891125,0.000891125,0.000891125
147,240.681,0.66191,0.45963,0.85146,0.96971,0.97165,0.98453,0.80646,0.72254,0.40979,0.84246,0.00088865,0.00088865,0.00088865
148,242.338,0.66757,0.47983,0.86724,0.96451,0.97304,0.98732,0.80296,0.72101,0.409,0.84124,0.000886175,0.000886175,0.000886175
149,243.959,0.70748,0.48027,0.87288,0.9684,0.97403,0.98905,0.79596,0.73932,0.41634,0.84427,0.0008837,0.0008837,0.0008837
150,245.602,0.67874,0.46117,0.86378,0.92936,0.96686,0.98311,0.7952,0.72359,0.44913,0.84111,0.000881225,0.000881225,0.000881225
151,247.202,0.67068,0.45845,0.86791,0.95173,0.96109,0.98602,0.78611,0.74646,0.42875,0.84088,0.00087875,0.00087875,0.00087875
152,248.904,0.69077,0.4544,0.85925,0.96007,0.97393,0.98565,0.80383,0.72291,0.41531,0.83605,0.000876275,0.000876275,0.000876275
153,250.514,0.68522,0.45146,0.85951,0.96274,0.97197,0.98774,0.81403,0.71528,0.41668,0.83641,0.0008738,0.0008738,0.0008738
154,252.135,0.67937,0.44397,0.86066,0.94299,0.97083,0.98722,0.80155,0.72628,0.42927,0.83824,0.000871325,0.000871325,0.000871325
155,253.711,0.67214,0.4599,0.85657,0.97556,0.9378,0.98037,0.79246,0.72888,0.41663,0.8369,0.00086885,0.00086885,0.00086885
156,255.317,0.70641,0.45425,0.87145,0.9647,0.98041,0.99119,0.80583,0.73389,0.41933,0.83674,0.000866375,0.000866375,0.000866375
157,256.926,0.65558,0.46821,0.86153,0.9759,0.97984,0.99222,0.81044,0.73451,0.40083,0.83755,0.0008639,0.0008639,0.0008639
158,258.541,0.68974,0.45116,0.86533,0.93226,0.9768,0.98851,0.80172,0.7241,0.42541,0.83853,0.000861425,0.000861425,0.000861425
159,260.176,0.66901,0.45586,0.86779,0.92357,0.98827,0.9848,0.79603,0.72496,0.4267,0.84558,0.00085895,0.00085895,0.00085895
160,261.836,0.65142,0.44051,0.86325,0.96567,0.98013,0.99131,0.80699,0.71161,0.39384,0.8365,0.000856475,0.000856475,0.000856475
161,263.433,0.64464,0.45693,0.86584,0.97229,0.99118,0.99131,0.81541,0.71147,0.39322,0.83678,0.000854,0.000854,0.000854
162,265.084,0.68447,0.44767,0.86725,0.97343,0.98311,0.98977,0.81198,0.71776,0.38762,0.8444,0.000851525,0.000851525,0.000851525
163,266.759,0.66462,0.44593,0.86791,0.95294,0.97925,0.98745,0.80642,0.7444,0.40725,0.84904,0.00084905,0.00084905,0.00084905
164,268.439,0.66968,0.44216,0.8532,0.95449,0.96907,0.98689,0.81046,0.74485,0.40656,0.8436,0.000846575,0.000846575,0.000846575
165,270.097,0.66059,0.44602,0.86389,0.97703,0.96614,0.98637,0.80573,0.74159,0.39863,0.84188,0.0008441,0.0008441,0.0008441
166,271.846,0.67524,0.44556,0.85606,0.96071,0.96392,0.98768,0.7943,0.75788,0.40626,0.8445,0.000841625,0.000841625,0.000841625
167,273.493,0.66847,0.44898,0.86001,0.96086,0.98176,0.98839,0.80708,0.74342,0.39328,0.84543,0.00083915,0.00083915,0.00083915
168,275.16,0.66493,0.4378,0.85547,0.98183,0.98711,0.991,0.82503,0.69248,0.3805,0.83373,0.000836675,0.000836675,0.000836675
169,276.809,0.65832,0.44397,0.85605,0.97958,0.98618,0.9913,0.82131,0.69038,0.37793,0.83289,0.0008342,0.0008342,0.0008342
170,278.471,0.61501,0.4258,0.85073,0.97946,0.98211,0.99015,0.81964,0.69285,0.38828,0.82947,0.000831725,0.000831725,0.000831725
171,280.12,0.63165,0.4332,0.85467,0.99061,0.96907,0.98847,0.81423,0.69949,0.39131,0.82982,0.00082925,0.00082925,0.00082925
172,281.773,0.65343,0.43156,0.86362,0.97728,0.98454,0.98992,0.81504,0.70428,0.38994,0.83155,0.000826775,0.000826775,0.000826775
173,283.419,0.64926,0.42982,0.85605,0.97439,0.98297,0.98949,0.80193,0.70696,0.40032,0.83283,0.0008243,0.0008243,0.0008243
174,285.1,0.61868,0.4359,0.86523,0.98762,0.96633,0.988,0.80554,0.70218,0.4068,0.83477,0.000821825,0.000821825,0.000821825
175,286.827,0.65894,0.4382,0.85739,0.97067,0.97057,0.9858,0.80505,0.69886,0.38595,0.83846,0.00081935,0.00081935,0.00081935
176,288.583,0.64244,0.43162,0.86331,0.97086,0.97217,0.9827,0.79729,0.72197,0.39155,0.8463,0.000816875,0.000816875,0.000816875
177,290.211,0.63118,0.43874,0.87281,0.97837,0.9705,0.98362,0.80254,0.71595,0.40052,0.84596,0.0008144,0.0008144,0.0008144
178,291.898,0.61447,0.43618,0.85672,0.97814,0.97423,0.98901,0.81479,0.70278,0.38538,0.841,0.000811925,0.000811925,0.000811925
179,293.626,0.62606,0.43378,0.85163,0.9704,0.97996,0.99042,0.81093,0.72769,0.39551,0.84322,0.00080945,0.00080945,0.00080945
